bonus|defPlayer1|defPlayersOnCourt|defTeam|gameEvent|gameId|gameType|isCharge|isPutback|neutralFloor|offPlayer1|offPlayer2|offPlayersOnCourt|offTeam|segment|shotType|shotValue|team0|team1|turnoverType|valueToAdd|violationType|x|y
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MADE|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||2||-110|27
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_ATTEMPT|1|time||false|false|1628021||1628021,1629645,1630227,1630224,1630528|1610612745||ARC_3|3|1610612761|1610612745||||-188|243
||1627783,1629018,1630551,1629004,1630625|1610612761|3FG_MADE|1|time||false|false|1628021|1629645|1628021,1629645,1630227,1630224,1630528|1610612745||ARC_3|3|1610612761|1610612745||3||-188|243
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||-116|154
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MISS|1|time|||false|1630625||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||-116|154
||1628021,1629645,1630227,1630224,1630528|1610612745|DEFENSIVE_REBOUND|1|time|||false|||1627783,1629018,1630551,1629004,1630625|1610612761||||1610612761|1610612745||1|||
|1630625|1627783,1629018,1630551,1629004,1630625|1610612761|NON_SHOOTING_DEFENSIVE_FOUL|1|time|||false|1630224||1628021,1629645,1630227,1630224,1630528|1610612745|0|||1610612761|1610612745|||||
||1627783,1629018,1630551,1629004,1630625|1610612761|TURNOVER|1|time|||false|1628021||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745|LOST_BALL|1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1629004||1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||||-42|100
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_MADE|1|time||false|false|1629004|1627783|1627783,1629018,1630551,1629004,1630625|1610612761||SHORT_MID_RANGE|2|1610612761|1610612745||2||-42|100
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_ATTEMPT|1|time||false|false|1629645||1628021,1629645,1630227,1630224,1630528|1610612745||AT_RIM|2|1610612761|1610612745||||12|15
||1627783,1629018,1630551,1629004,1630625|1610612761|2FG_MISS|1|time|||false|1629645||1628021,1629645,1630227,1630224,1630528|1610612745||AT_RIM|2|1610612761|1610612745||||12|15
||1627783,1629018,1630551,1629004,1630625|1610612761|DEFENSIVE_REBOUND|1|time|||false|||1628021,1629645,1630227,1630224,1630528|1610612745||||1610612761|1610612745||1|||
||1628021,1629645,1630227,1630224,1630528|1610612745|2FG_ATTEMPT|1|time||false|false|1630551||1627783,1629018,1630551,1629004,1630625|1610612761||LONG_MID_RANGE|2|1610612761|1610612745||||-141|31
